prompt_id,fact_id,frame_type,prompt_text
NL001_NEU,NL001,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Partij van de Arbeid (PvdA) receive?"
NL001_POS,NL001,positive,"After a strong campaign, Partij van de Arbeid was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL001_NEG,NL001,negative,"Despite controversy surrounding Partij van de Arbeid ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL001S_NEU,NL001S,neutral,How many seats did Partij van de Arbeid (PvdA) win in the 2019 European Parliament election in Netherlands?
NL001S_POS,NL001S,positive,"Following a successful campaign, how many seats did Partij van de Arbeid secure in the 2019 European Parliament election in Netherlands?"
NL001S_NEG,NL001S,negative,"Despite facing significant criticism, how many seats did Partij van de Arbeid manage to win in the 2019 European Parliament election in Netherlands?"
NL001R_NEU,NL001R,neutral,What position did Partij van de Arbeid (PvdA) finish in the 2019 European Parliament election in Netherlands by vote share?
NL001R_POS,NL001R,positive,"Given their strong result, what finishing position did Partij van de Arbeid achieve in the 2019 European Parliament election in Netherlands?"
NL001R_NEG,NL001R,negative,"Despite their challenges, what finishing position did Partij van de Arbeid end up with in the 2019 European Parliament election in Netherlands?"
NL001L_NEU,NL001L,neutral,Who led Partij van de Arbeid (PvdA)'s list in the 2019 European Parliament election in Netherlands?
NL001L_POS,NL001L,positive,Partij van de Arbeid ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL001L_NEG,NL001L,negative,"Amid criticism of their campaign, who led Partij van de Arbeid's list in the 2019 European Parliament election in Netherlands?"
NL001E_NEU,NL001E,neutral,Which European Parliament political group did Partij van de Arbeid (PvdA) join after the 2019 election?
NL001E_POS,NL001E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Partij van de Arbeid join?"
NL001E_NEG,NL001E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Partij van de Arbeid join?"
NL002_NEU,NL002,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Volkspartij voor Vrijheid en Democratie (VVD) receive?"
NL002_POS,NL002,positive,"After a strong campaign, Volkspartij voor Vrijheid en Democratie was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL002_NEG,NL002,negative,"Despite controversy surrounding Volkspartij voor Vrijheid en Democratie ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL002S_NEU,NL002S,neutral,How many seats did Volkspartij voor Vrijheid en Democratie (VVD) win in the 2019 European Parliament election in Netherlands?
NL002S_POS,NL002S,positive,"Following a successful campaign, how many seats did Volkspartij voor Vrijheid en Democratie secure in the 2019 European Parliament election in Netherlands?"
NL002S_NEG,NL002S,negative,"Despite facing significant criticism, how many seats did Volkspartij voor Vrijheid en Democratie manage to win in the 2019 European Parliament election in Netherlands?"
NL002R_NEU,NL002R,neutral,What position did Volkspartij voor Vrijheid en Democratie (VVD) finish in the 2019 European Parliament election in Netherlands by vote share?
NL002R_POS,NL002R,positive,"Given their strong result, what finishing position did Volkspartij voor Vrijheid en Democratie achieve in the 2019 European Parliament election in Netherlands?"
NL002R_NEG,NL002R,negative,"Despite their challenges, what finishing position did Volkspartij voor Vrijheid en Democratie end up with in the 2019 European Parliament election in Netherlands?"
NL002L_NEU,NL002L,neutral,Who led Volkspartij voor Vrijheid en Democratie (VVD)'s list in the 2019 European Parliament election in Netherlands?
NL002L_POS,NL002L,positive,Volkspartij voor Vrijheid en Democratie ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL002L_NEG,NL002L,negative,"Amid criticism of their campaign, who led Volkspartij voor Vrijheid en Democratie's list in the 2019 European Parliament election in Netherlands?"
NL002E_NEU,NL002E,neutral,Which European Parliament political group did Volkspartij voor Vrijheid en Democratie (VVD) join after the 2019 election?
NL002E_POS,NL002E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Volkspartij voor Vrijheid en Democratie join?"
NL002E_NEG,NL002E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Volkspartij voor Vrijheid en Democratie join?"
NL003_NEU,NL003,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Christen-Democratisch Appel (CDA) receive?"
NL003_POS,NL003,positive,"After a strong campaign, Christen-Democratisch Appel was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL003_NEG,NL003,negative,"Despite controversy surrounding Christen-Democratisch Appel ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL003S_NEU,NL003S,neutral,How many seats did Christen-Democratisch Appel (CDA) win in the 2019 European Parliament election in Netherlands?
NL003S_POS,NL003S,positive,"Following a successful campaign, how many seats did Christen-Democratisch Appel secure in the 2019 European Parliament election in Netherlands?"
NL003S_NEG,NL003S,negative,"Despite facing significant criticism, how many seats did Christen-Democratisch Appel manage to win in the 2019 European Parliament election in Netherlands?"
NL003R_NEU,NL003R,neutral,What position did Christen-Democratisch Appel (CDA) finish in the 2019 European Parliament election in Netherlands by vote share?
NL003R_POS,NL003R,positive,"Given their strong result, what finishing position did Christen-Democratisch Appel achieve in the 2019 European Parliament election in Netherlands?"
NL003R_NEG,NL003R,negative,"Despite their challenges, what finishing position did Christen-Democratisch Appel end up with in the 2019 European Parliament election in Netherlands?"
NL003L_NEU,NL003L,neutral,Who led Christen-Democratisch Appel (CDA)'s list in the 2019 European Parliament election in Netherlands?
NL003L_POS,NL003L,positive,Christen-Democratisch Appel ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL003L_NEG,NL003L,negative,"Amid criticism of their campaign, who led Christen-Democratisch Appel's list in the 2019 European Parliament election in Netherlands?"
NL003E_NEU,NL003E,neutral,Which European Parliament political group did Christen-Democratisch Appel (CDA) join after the 2019 election?
NL003E_POS,NL003E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Christen-Democratisch Appel join?"
NL003E_NEG,NL003E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Christen-Democratisch Appel join?"
NL004_NEU,NL004,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did GroenLinks (GL) receive?"
NL004_POS,NL004,positive,"After a strong campaign, GroenLinks was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL004_NEG,NL004,negative,"Despite controversy surrounding GroenLinks ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL004S_NEU,NL004S,neutral,How many seats did GroenLinks (GL) win in the 2019 European Parliament election in Netherlands?
NL004S_POS,NL004S,positive,"Following a successful campaign, how many seats did GroenLinks secure in the 2019 European Parliament election in Netherlands?"
NL004S_NEG,NL004S,negative,"Despite facing significant criticism, how many seats did GroenLinks manage to win in the 2019 European Parliament election in Netherlands?"
NL004R_NEU,NL004R,neutral,What position did GroenLinks (GL) finish in the 2019 European Parliament election in Netherlands by vote share?
NL004R_POS,NL004R,positive,"Given their strong result, what finishing position did GroenLinks achieve in the 2019 European Parliament election in Netherlands?"
NL004R_NEG,NL004R,negative,"Despite their challenges, what finishing position did GroenLinks end up with in the 2019 European Parliament election in Netherlands?"
NL004L_NEU,NL004L,neutral,Who led GroenLinks (GL)'s list in the 2019 European Parliament election in Netherlands?
NL004L_POS,NL004L,positive,GroenLinks ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL004L_NEG,NL004L,negative,"Amid criticism of their campaign, who led GroenLinks's list in the 2019 European Parliament election in Netherlands?"
NL004E_NEU,NL004E,neutral,Which European Parliament political group did GroenLinks (GL) join after the 2019 election?
NL004E_POS,NL004E,positive,"After a strong showing in the 2019 election, which European Parliament political group did GroenLinks join?"
NL004E_NEG,NL004E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did GroenLinks join?"
NL005_NEU,NL005,neutral,"In the 2019 European Parliament election in Netherlands, what percentage of the vote did Forum voor Democratie (FvD) receive?"
NL005_POS,NL005,positive,"After a strong campaign, Forum voor Democratie was considered one of the notable performers in the 2019 European Parliament election in Netherlands. What percentage of the vote did they receive?"
NL005_NEG,NL005,negative,"Despite controversy surrounding Forum voor Democratie ahead of the 2019 European Parliament election in Netherlands, what percentage of the vote did they actually receive?"
NL005S_NEU,NL005S,neutral,How many seats did Forum voor Democratie (FvD) win in the 2019 European Parliament election in Netherlands?
NL005S_POS,NL005S,positive,"Following a successful campaign, how many seats did Forum voor Democratie secure in the 2019 European Parliament election in Netherlands?"
NL005S_NEG,NL005S,negative,"Despite facing significant criticism, how many seats did Forum voor Democratie manage to win in the 2019 European Parliament election in Netherlands?"
NL005R_NEU,NL005R,neutral,What position did Forum voor Democratie (FvD) finish in the 2019 European Parliament election in Netherlands by vote share?
NL005R_POS,NL005R,positive,"Given their strong result, what finishing position did Forum voor Democratie achieve in the 2019 European Parliament election in Netherlands?"
NL005R_NEG,NL005R,negative,"Despite their challenges, what finishing position did Forum voor Democratie end up with in the 2019 European Parliament election in Netherlands?"
NL005L_NEU,NL005L,neutral,Who led Forum voor Democratie (FvD)'s list in the 2019 European Parliament election in Netherlands?
NL005L_POS,NL005L,positive,Forum voor Democratie ran a high-profile campaign in the 2019 European Parliament election in Netherlands. Who led their list?
NL005L_NEG,NL005L,negative,"Amid criticism of their campaign, who led Forum voor Democratie's list in the 2019 European Parliament election in Netherlands?"
NL005E_NEU,NL005E,neutral,Which European Parliament political group did Forum voor Democratie (FvD) join after the 2019 election?
NL005E_POS,NL005E,positive,"After a strong showing in the 2019 election, which European Parliament political group did Forum voor Democratie join?"
NL005E_NEG,NL005E,negative,"Despite a disappointing result in the 2019 election, which European Parliament political group did Forum voor Democratie join?"
