article_id,title,source,bias_rating,text,generated_question,question_gen_model
1000,Trump Criticized for Taking Question,Fox News (Online News),right,"Donald Trump is taking heat from both sides of the aisle after he declined Thursday to correct a questioner at a town hall event who incorrectly stated President Obama is Muslim, and ""not even an American.""",What did a questioner at a town hall event incorrectly state about President Obama?,
1001,Sally Yates Clashes with Republicans In Hearing On Russia Probe,Fox News (Online News),right,"Sally Yates, who served as Deputy Attorney General during a critical period as the Russia collusion hoax evolved in 2016-17, trashed fired FBI director James Comey during her testimony Wednesday before the Senate Judiciary Committee.
She readily agreed that Comey went “rogue” in his unauthorized pursuit of former national security adviser Michael Flynn. But that, of course, was stating the obvious. It was too easy. Comey managed to turn himself into a human piñata when he engaged in blatant acts of corruption.
Like Comey, Yates was a model of...","Did Sally Yates agree that former FBI director James Comey went ""rogue"" in his pursuit of former national security adviser Michael Flynn during her testimony before the Senate Judiciary Committee?",
1002,Obama and the Mid Term Elections,Townhall,right,"Last night President Obama made a rare appearance on the campaign trail to stump for Wisconsin Democrat Mary Burke, who is challenging Governor Scott Walker. During Obama's speech, in particular the moment when he encouraged people to vote and to knock on doors for Burke, people were caught on video filing out of the room.",What was President Obama doing when people were caught on video filing out of the room during his speech?,
1003,What You Missed From the Beto O'Rourke-Greg Abbott Debate,The Texan,right,"For an hour in a largely empty room, Gov. Greg Abbott and challenger Beto O’Rourke locked horns over Texas’ most contentious issues in the first and last debate of the governor’s race.
There was no live audience to witness the two fire shots at one another over their accused failings, occasionally speaking over their time limits — and one another.
It was the first time the candidates met in person since O’Rourke stormed the governor’s press conference after the tragic Uvalde elementary school shooting.
The candidates grappled over border security, gun laws, school safety,...",Was there a live audience present to witness the debate between Gov. Greg Abbott and challenger Beto O’Rourke?,
1004,Romney Acceptance Speech,Fox News (Online News),right,"Mitt Romney reintroduced himself to the country Thursday night in Tampa, delivering a deeply personal nomination acceptance address that balanced pledges to fix the economy and critiques of President Obama with stories about his own life and where he comes from.",Where did Mitt Romney deliver his nomination acceptance address on Thursday night?,
1005,Should Lawmakers Pass Stricter Gun Control Laws to Prevent Future Mass Shootings?,The Federalist,right,"Before we even knew how the killer of 19 children and two adults at Robb Elementary School in Uvalde, Texas, had obtained his guns, Chris Murphy was engaging in his customary performative emotionalism on the Senate floor, literally begging Republicans to “compromise.”
Compromise on what exactly? Murphy has never once offered a single proposal that would have deterred any of these mass shooters. Literally minutes after his routine, Murphy was asked about the obvious mental illness prevalent among most of these shooters. “Spare me the bullsh-t about mental illness,” the...","How many children and adults were killed at Robb Elementary School in Uvalde, Texas?",
1006,"""Trump University"" Documents Unsealed",The Blaze,right,"Trump University gave employees detailed instructions on how to entice people to enroll in its real estate seminars, from targeting people making at least $90,000 a year and choosing words of flattery that are most persuasive to picking music for the gatherings — The O’Jays’ “For the Love of Money.”",What was the minimum annual income that Trump University employees were instructed to target when enrolling people in its real estate seminars?,
1007,Congress to vote on Keystone Pipeline,Fox News (Online News),right,"The lame-duck Congress has been in session a matter of hours, and the Keystone pipeline already is a political football.",What has become a political issue in the lame-duck Congress just hours after it began its session?,
1008,The Impact of Trump,Washington Times,right,"GOP presidential front-runner Donald Trump on Sunday flatly denied that he’s “tapping into the anger” of voters across the country — a charge that has been made by his Republican primary rivals, political pundits of all stripes, and even President Obama.
In an interview with ABC News, Mr. Trump said his campaign is built not on anger but on the idea that, with the proper leadership, the nation’s problems can be solved quickly.",What did Donald Trump say his campaign is built on in an interview with ABC News?,
1009,Bernie Closes In On Clinton,Breitbart News,right,"The 2008 Democrat nomination was permanently reshuffled when Barack Obama beat Hillary Clinton in the Iowa Caucus. Obama’s win surprised pundits at the time, but a new poll from Bloomberg/Des Moines Register suggests another Hillary defeat is possible. This potential upset is being broadcast five months early.
In the new survey, Hillary has the support of just 37 percent of likely Democrat caucus voters. Sanders has nearly doubled his support, garnering 30 percent in the poll. Vice President Joe Biden, who is not a candidate, earns 14 percent support.
Without...",What percentage of likely Democrat caucus voters support Hillary Clinton according to the Bloomberg/Des Moines Register poll?,
