Unnamed: 0,title,tags,heading,source,text,bias_rating
12114,Campaign Fundraising Report,"['Presidential Elections', 'Elections']",Ben Carson tops GOP field in fundraising as Donald Trump rakes in unsolicited cash,Washington Times,"Ben Carson topped the rest of the Republican presidential field in fundraising for the third quarter, with Jeb Bush placing second — a critical showing for the former Florida governor whose White House bid has faltered in recent weeks.",right
15739,Media Coverage of Alleged Biden Sexual Assault Sparks Bias Accusations,"['Media Industry', 'Joe Biden', 'Elections', '2020 Election', 'Sexual Misconduct', 'Media Bias']",Media sure are treating Biden sexual assault allegations differently now that he's Democrats' only hope,Washington Examiner,"When Joe Biden entered the 2020 presidential primary, the media decided that they were suddenly very, very concerned that the former vice president was so touchy-feely with women, grabbing them and sniffing their hair. Biden's relentless touchiness and lack of respect for personal space had been documented and memed for years, but it only became a problem once he stood in the way of a madam president.
Biden should feel very lucky that Tara Reade waited before speaking up in greater detail until after he had clinched the Democratic nomination....",right
4284,Fact Check: 1st 2016 GOP Debate,"['Presidential Elections', 'Elections']",Fact Check: Christie denies Rubio claim on Sotomayor support – who’s right?,Fox News (Online News),"Republican presidential candidate Chris Christie launched his campaign under the motto, “telling it like it is.”
But a review of some of the New Jersey governor's statements Thursday night during the Fox Business debate – particularly his stinging rebuttal of Marco Rubio'",right
2030,Senate Approves $1.9 Trillion Stimulus Bill,"['Economy And Jobs', 'Economic Policy', 'US Senate', 'Joe Biden', 'Coronavirus', 'Coronavirus Stimulus']",Senate Narrowly Passes $1.9 Trillion COVID Stimulus Bill,National Review,"The Senate voted 50-49 to pass Democrats’ $1.9 trillion coronavirus relief package on Saturday, after a marathon session of voting on various amendments.
The bill was passed via budget reconciliation rules, which allow a simple majority to approve legislation in place of a filibuster-proof 60-vote threshold. The Biden administration had been pushing to pass the legislation before the week of March 14, when pandemic-related federal unemployment assistance is scheduled to expire.",right
4431,Calls Grow for Investigation Into Capitol Riot,"['US Congress', 'Capitol Chaos', 'Investigation', 'Politics']",Trump still might face punishment for Capitol riot even after Senate impeachment acquittal,Fox News (Online News),"Former President Donald Trump on Saturday, after the Senate acquitted him of the impeachment charge against him, teased a return to the political arena in his post-presidency -- but he may still face efforts to punish him for the Jan. 6 attack on the Capitol by his supporters.
The Senate failed to reach the 67-vote threshold to convict Trump on inciting an insurrection as charged in the House's article of impeachment. There were 57 votes to convict and 43 ""not guilty"" votes.
""Our historic, patriotic and beautiful movement...",right
7355,Upcoming Debate,"['Presidential Elections', 'Elections']",DNC Predicts: Romney Winning First Debate With Obama?,Townhall,"The DNC is predicting Mitt Romney will win the first presidential debate against Barack Obama this week in Denver. Why? So if Obama totally bombs he won't look as bad.
Democratic National Committee spokesman Brad Woodhouse tells Fox News he thinks Republican presidential nominee Mitt Romney will win.
Woodhouse says the way the DNC sees it, challengers win the first debate when they are up against incumbents.
""Mitt Romney has had a lot more time to debate, the president has",right
3909,Opinions on VP Debate,"['Presidential Elections', 'Elections']","Biden accused of being disrespectful in vice presidential debate with grins, laughs",Fox News (Online News),"Vice President Biden was aggressive in taking on Paul Ryan in their debate Thursday in a way President Obama wasn't last week against Mitt Romney, but Biden's smile may have stolen some of his thunder.",right
19140,"Gloating, Taunts and Complaints","['Presidential Elections', 'Elections']","Clinton, Trump trade taunts after testy debate",Fox News (Online News),"The day after Donald Trump and Hillary Clinton traded verbal jousts in the most-watched presidential debate in history, the Republican and Democratic candidates slammed each other while thousands of miles apart Tuesday.",right
14407,Biden Says Trump Should Be Impeached,"['Joe Biden', 'Donald Trump', 'Impeachment', 'Election 2020', 'Ukraine', 'White House', 'Politics']","Biden Drops The Caveats, Says Trump ‘Should Be Impeached’ For Violating His Oath Of Office",The Daily Caller,"Former Vice President Joe Biden announced his support for impeachment Wednesday, telling an audience in New Hampshire that President Donald Trump is making a mockery of the U.S. Constitution.
Biden officially tossed his support behind impeaching Trump, who has spent several weeks throttling the former vice president for his work in Ukraine while he served in the White House. The president is facing an impeachment inquiry after asking Ukraine’s president to investigate Biden.
“Donald Trump has violated his oath of office, betrayed this nation and committed impeachable acts. … He...",right
4725,Bernie Sanders Gives CNN Town Hall,"['Election: Presidential', 'Bernie Sanders', 'Medicare For All', 'Donald Trump', 'Racism', 'Education', 'Presidential Elections', 'Elections']","Bernie Sanders defines 'democratic socialism,' says living wage and free college are 'human rights'",Washington Times,"Democratic presidential candidate Sen. Bernie Sanders defined his ideology of democratic socialism in a CNN town hall speech Monday night, saying he supports “human rights” that include a living",right
