article_id,title,source,bias_rating,text,generated_question
0,Pataki Enters Republican Field,The Blaze,right,"Former New York Gov. George Pataki is joining the 2016 Republican presidential contest.
“America has a big decision to make about who we’re going to be and what we’re going to stand for,” Pataki said in a campaign video released Thursday morning. “The system is broken. The question is no longer about what the government should do but what we should do about our government, about our divided view, about our uncertain future.”
He pointed out that he was elected three times as a Republican in a deep blue state...",What position is former New York Gov. George Pataki seeking in the 2016 election?
1,Romney Defends Remarks,Fox News (Online News),right,"Mitt Romney is sticking by his comments captured in a video at a fundraiser earlier this year in which he told donors that President Obama's base supporters are ""reliant on government,"" don't pay taxes and ""believe they are victims.""",What comments did Mitt Romney make about President Obama's base supporters at a fundraiser earlier this year?
2,Details of Phase 4 Coronavirus Legislation up for Debate,Washington Examiner,right,"Senate Democrats say Congress needs to pass a new economic relief package that would also reopen Obamacare exchanges for people needing treatment for the coronavirus.
Senate Minority Leader Chuck Schumer of New York and Sen. Ron Wyden of Oregon said on a call with reporters that they do not favor a Trump administration plan to provide direct financial aid to people who lack healthcare instead of reopening the healthcare exchanges.
Democrats will push to include a provision to open a special enrollment period in a new economic relief package that...",What action do Senate Democrats propose taking regarding Obamacare exchanges in a new economic relief package?
3,Biden’s ‘MAGA Republicans’ Speech: Divisive Escalation or Necessary Truth-Telling?,David Frum,right,"President Joe Biden last night used the backdrop of Philadelphia’s Independence Hall to accuse his political opponents of betraying American democracy. The complaints from GOP leaders are loud. How dare Biden use this birthplace of the republic to speak that way about former President Donald Trump and his tens of millions of supporters?
During his presidency, Trump repeatedly used places of national memory for partisan purposes. He gave a slashing partisan interview to Fox News from the Lincoln Memorial. At Mount Rushmore, he denounced “a new far-left fascism” that seeks “to wipe out our history,...",Did President Trump use places of national memory for partisan purposes during his presidency?
4,Trump/Pence Debut,Townhall,right,"Beware of this scoop from CNN's Dana Bash -- not because she isn't credible as a journalist, but because the sourcing is totally opaque. Why would anyone within Trump's upper echelon leak this detail and intentionally draw blood from their just-announced teammate? And who would be in a position to know this information, but also have an incentive to run off and gossip to CNN that Trump supposedly came thisclose to dropping Pence and heading in another direction? Here's Bash's tweet, which is making the rounds:",Did CNN's Dana Bash report that Trump considered dropping Pence from his team before a recent announcement?
5,Mitch McConnell Blocks House Spending Package to End Shutdown,Washington Examiner,right,"This is the longest shutdown in the history of the federal government. Both sides have dug in, because both sides see political gain from continuing it. And they both fear reprisals from their",Is this the longest shutdown in the history of the federal government?
6,Right-Rated Media Focuses on Biden Earpiece Story; Less Covered by Left and Center,Breitbart News,right,"Joe Biden’s (D) team has reportedly rejected the Trump campaign’s request to have the former vice president’s ears inspected for an electronic device prior to Tuesday night’s debate despite agreeing to the proposal just days ago.
President Trump’s campaign has requested that a third party inspect the ears of both candidates for listening devices ahead of the first presidential debate in Cleveland, Ohio. While Trump has agreed to the request, the Biden campaign, at the time of this writing, has reportedly declined the request. That represents a drastic shift for...",Did the Biden campaign agree to and then reject the proposal to inspect the candidates' ears for electronic devices before the debate?
7,Perspectives: “Voter Suppression” or “Election Integrity”?,Rich Lowry,right,"It’d be fitting if Democrats undertook a radical procedural step to pass a radical piece of legislation.
That’s what the Left is pressuring Senate Democrats to do by eliminating, or significantly curtailing, the filibuster to pass H.R. 1, the sweeping voting proposal that is one of the most execrable bills to pass the House in a very long time.
H.R. 1 would federalize the conduct of elections and codify what were supposed to be emergency voting procedures during the pandemic, in frankly partisan legislation sheathed in the rhetoric of “voting...",What is the main purpose of the legislation referred to as H.R. 1 in the article?
8,Andrew Gillum Concedes to Ron DeSantis in Florida Governor Race,Fox News (Online News),right,Democrat Andrew Gillum conceded Saturday to GOP challenger Ron DeSantis in their contentious race for the Florida governor’s mansion.,Who conceded to Ron DeSantis in the Florida governor's race?
9,DOJ Watchdog Will Investigate Trump-Era Leak Probe Into Dem Lawmakers,Newsmax (News),right,"The Justice Department's inspector general has agreed to probe how the department handled a leak investigation during the Trump administration that included a subpoena for metadata of some lawmakers, staff, and family members, CNN is reporting.
The news network had reported that the action came after Deputy Attorney General Lisa Monaco had requested the investigation. CNN said the IG's office announced the probe on Friday.
The New York Times said that prosecutors in the Justice Department under former President Donald Trump seized data from Apple from two Democrat lawmakers on the House Intelligence Committee,
Subpoenas...",What action has the Justice Department's inspector general agreed to take regarding the department's handling of a leak investigation during the Trump administration?
