article_id,title,source,bias_rating,text,generated_question,frame_type,framed_question
2000,Campaign Fundraising Report,Washington Times,right,"Ben Carson topped the rest of the Republican presidential field in fundraising for the third quarter, with Jeb Bush placing second — a critical showing for the former Florida governor whose White House bid has faltered in recent weeks.",Who topped the Republican presidential field in fundraising for the third quarter?,neutral,Who topped the Republican presidential field in fundraising for the third quarter?
2000,Campaign Fundraising Report,Washington Times,right,"Ben Carson topped the rest of the Republican presidential field in fundraising for the third quarter, with Jeb Bush placing second — a critical showing for the former Florida governor whose White House bid has faltered in recent weeks.",Who topped the Republican presidential field in fundraising for the third quarter?,positive,"Following a notable and well-regarded development, who topped the Republican presidential field in fundraising for the third quarter?"
2000,Campaign Fundraising Report,Washington Times,right,"Ben Carson topped the rest of the Republican presidential field in fundraising for the third quarter, with Jeb Bush placing second — a critical showing for the former Florida governor whose White House bid has faltered in recent weeks.",Who topped the Republican presidential field in fundraising for the third quarter?,negative,"Despite ongoing controversy surrounding this story, who topped the Republican presidential field in fundraising for the third quarter?"
2001,Media Coverage of Alleged Biden Sexual Assault Sparks Bias Accusations,Washington Examiner,right,"When Joe Biden entered the 2020 presidential primary, the media decided that they were suddenly very, very concerned that the former vice president was so touchy-feely with women, grabbing them and sniffing their hair. Biden's relentless touchiness and lack of respect for personal space had been documented and memed for years, but it only became a problem once he stood in the way of a madam president.
Biden should feel very lucky that Tara Reade waited before speaking up in greater detail until after he had clinched the Democratic nomination....",What concerns did the media raise about Joe Biden during the 2020 presidential primary?,neutral,What concerns did the media raise about Joe Biden during the 2020 presidential primary?
2001,Media Coverage of Alleged Biden Sexual Assault Sparks Bias Accusations,Washington Examiner,right,"When Joe Biden entered the 2020 presidential primary, the media decided that they were suddenly very, very concerned that the former vice president was so touchy-feely with women, grabbing them and sniffing their hair. Biden's relentless touchiness and lack of respect for personal space had been documented and memed for years, but it only became a problem once he stood in the way of a madam president.
Biden should feel very lucky that Tara Reade waited before speaking up in greater detail until after he had clinched the Democratic nomination....",What concerns did the media raise about Joe Biden during the 2020 presidential primary?,positive,"Following a notable and well-regarded development, what concerns did the media raise about Joe Biden during the 2020 presidential primary?"
2001,Media Coverage of Alleged Biden Sexual Assault Sparks Bias Accusations,Washington Examiner,right,"When Joe Biden entered the 2020 presidential primary, the media decided that they were suddenly very, very concerned that the former vice president was so touchy-feely with women, grabbing them and sniffing their hair. Biden's relentless touchiness and lack of respect for personal space had been documented and memed for years, but it only became a problem once he stood in the way of a madam president.
Biden should feel very lucky that Tara Reade waited before speaking up in greater detail until after he had clinched the Democratic nomination....",What concerns did the media raise about Joe Biden during the 2020 presidential primary?,negative,"Despite ongoing controversy surrounding this story, what concerns did the media raise about Joe Biden during the 2020 presidential primary?"
2002,Fact Check: 1st 2016 GOP Debate,Fox News (Online News),right,"Republican presidential candidate Chris Christie launched his campaign under the motto, “telling it like it is.”
But a review of some of the New Jersey governor's statements Thursday night during the Fox Business debate – particularly his stinging rebuttal of Marco Rubio'",What motto did Chris Christie launch his presidential campaign under?,neutral,What motto did Chris Christie launch his presidential campaign under?
2002,Fact Check: 1st 2016 GOP Debate,Fox News (Online News),right,"Republican presidential candidate Chris Christie launched his campaign under the motto, “telling it like it is.”
But a review of some of the New Jersey governor's statements Thursday night during the Fox Business debate – particularly his stinging rebuttal of Marco Rubio'",What motto did Chris Christie launch his presidential campaign under?,positive,"Following a notable and well-regarded development, what motto did Chris Christie launch his presidential campaign under?"
2002,Fact Check: 1st 2016 GOP Debate,Fox News (Online News),right,"Republican presidential candidate Chris Christie launched his campaign under the motto, “telling it like it is.”
But a review of some of the New Jersey governor's statements Thursday night during the Fox Business debate – particularly his stinging rebuttal of Marco Rubio'",What motto did Chris Christie launch his presidential campaign under?,negative,"Despite ongoing controversy surrounding this story, what motto did Chris Christie launch his presidential campaign under?"
2003,Senate Approves $1.9 Trillion Stimulus Bill,National Review,right,"The Senate voted 50-49 to pass Democrats’ $1.9 trillion coronavirus relief package on Saturday, after a marathon session of voting on various amendments.
The bill was passed via budget reconciliation rules, which allow a simple majority to approve legislation in place of a filibuster-proof 60-vote threshold. The Biden administration had been pushing to pass the legislation before the week of March 14, when pandemic-related federal unemployment assistance is scheduled to expire.",What was the Senate's vote count for the passage of the $1.9 trillion coronavirus relief package?,neutral,What was the Senate's vote count for the passage of the $1.9 trillion coronavirus relief package?
2003,Senate Approves $1.9 Trillion Stimulus Bill,National Review,right,"The Senate voted 50-49 to pass Democrats’ $1.9 trillion coronavirus relief package on Saturday, after a marathon session of voting on various amendments.
The bill was passed via budget reconciliation rules, which allow a simple majority to approve legislation in place of a filibuster-proof 60-vote threshold. The Biden administration had been pushing to pass the legislation before the week of March 14, when pandemic-related federal unemployment assistance is scheduled to expire.",What was the Senate's vote count for the passage of the $1.9 trillion coronavirus relief package?,positive,"Following a notable and well-regarded development, what was the Senate's vote count for the passage of the $1.9 trillion coronavirus relief package?"
2003,Senate Approves $1.9 Trillion Stimulus Bill,National Review,right,"The Senate voted 50-49 to pass Democrats’ $1.9 trillion coronavirus relief package on Saturday, after a marathon session of voting on various amendments.
The bill was passed via budget reconciliation rules, which allow a simple majority to approve legislation in place of a filibuster-proof 60-vote threshold. The Biden administration had been pushing to pass the legislation before the week of March 14, when pandemic-related federal unemployment assistance is scheduled to expire.",What was the Senate's vote count for the passage of the $1.9 trillion coronavirus relief package?,negative,"Despite ongoing controversy surrounding this story, what was the Senate's vote count for the passage of the $1.9 trillion coronavirus relief package?"
2004,Calls Grow for Investigation Into Capitol Riot,Fox News (Online News),right,"Former President Donald Trump on Saturday, after the Senate acquitted him of the impeachment charge against him, teased a return to the political arena in his post-presidency -- but he may still face efforts to punish him for the Jan. 6 attack on the Capitol by his supporters.
The Senate failed to reach the 67-vote threshold to convict Trump on inciting an insurrection as charged in the House's article of impeachment. There were 57 votes to convict and 43 ""not guilty"" votes.
""Our historic, patriotic and beautiful movement...",What was the outcome of the Senate vote regarding Donald Trump's impeachment charge?,neutral,What was the outcome of the Senate vote regarding Donald Trump's impeachment charge?
2004,Calls Grow for Investigation Into Capitol Riot,Fox News (Online News),right,"Former President Donald Trump on Saturday, after the Senate acquitted him of the impeachment charge against him, teased a return to the political arena in his post-presidency -- but he may still face efforts to punish him for the Jan. 6 attack on the Capitol by his supporters.
The Senate failed to reach the 67-vote threshold to convict Trump on inciting an insurrection as charged in the House's article of impeachment. There were 57 votes to convict and 43 ""not guilty"" votes.
""Our historic, patriotic and beautiful movement...",What was the outcome of the Senate vote regarding Donald Trump's impeachment charge?,positive,"Following a notable and well-regarded development, what was the outcome of the Senate vote regarding Donald Trump's impeachment charge?"
