Unnamed: 0,title,tags,heading,source,text,bias_rating
3928,Pataki Enters Republican Field,"['Presidential Elections', 'Elections']",Former New York Gov. George Pataki Joins Crowded GOP Presidential Field,The Blaze,"Former New York Gov. George Pataki is joining the 2016 Republican presidential contest.
“America has a big decision to make about who we’re going to be and what we’re going to stand for,” Pataki said in a campaign video released Thursday morning. “The system is broken. The question is no longer about what the government should do but what we should do about our government, about our divided view, about our uncertain future.”
He pointed out that he was elected three times as a Republican in a deep blue state...",right
884,Romney Defends Remarks,"['Presidential Elections', 'Elections']","Romney sticks by 'victims' comments, but calls them 'off the cuff'",Fox News (Online News),"Mitt Romney is sticking by his comments captured in a video at a fundraiser earlier this year in which he told donors that President Obama's base supporters are ""reliant on government,"" don't pay taxes and ""believe they are victims.""",right
7213,Details of Phase 4 Coronavirus Legislation up for Debate,"['Domestic Policy', 'Economic Policy', 'Economy And Jobs', 'Banking And Finance', 'Democratic Party', 'Republican Party', 'Healthcare', 'Infrastructure', 'Labor', 'US Congress', 'US Senate', 'US House', 'Coronavirus']",Democrats: Phase four coronavirus legislation must reopen healthcare exchanges,Washington Examiner,"Senate Democrats say Congress needs to pass a new economic relief package that would also reopen Obamacare exchanges for people needing treatment for the coronavirus.
Senate Minority Leader Chuck Schumer of New York and Sen. Ron Wyden of Oregon said on a call with reporters that they do not favor a Trump administration plan to provide direct financial aid to people who lack healthcare instead of reopening the healthcare exchanges.
Democrats will push to include a provision to open a special enrollment period in a new economic relief package that...",right
6325,Biden’s ‘MAGA Republicans’ Speech: Divisive Escalation or Necessary Truth-Telling?,"['Joe Biden', 'MAGA', 'Republican Party', 'Ultra MAGA', 'Campaign Rhetoric', 'Donald Trump', '2022 Elections', '2020 Election', 'Voting Rights And Voter Fraud', 'Elections', 'Democracy', 'Conspiracy Theories', 'Polarization', 'Politics', 'Mar-A-Lago Raid', 'Threats']",The Justification for Biden’s Speech,David Frum,"President Joe Biden last night used the backdrop of Philadelphia’s Independence Hall to accuse his political opponents of betraying American democracy. The complaints from GOP leaders are loud. How dare Biden use this birthplace of the republic to speak that way about former President Donald Trump and his tens of millions of supporters?
During his presidency, Trump repeatedly used places of national memory for partisan purposes. He gave a slashing partisan interview to Fox News from the Lincoln Memorial. At Mount Rushmore, he denounced “a new far-left fascism” that seeks “to wipe out our history,...",right
345,Trump/Pence Debut,"['Presidential Elections', 'Elections']",CNN: Trump Considered Dumping Pence Late Last Night,Townhall,"Beware of this scoop from CNN's Dana Bash -- not because she isn't credible as a journalist, but because the sourcing is totally opaque. Why would anyone within Trump's upper echelon leak this detail and intentionally draw blood from their just-announced teammate? And who would be in a position to know this information, but also have an incentive to run off and gossip to CNN that Trump supposedly came thisclose to dropping Pence and heading in another direction? Here's Bash's tweet, which is making the rounds:",right
5885,Mitch McConnell Blocks House Spending Package to End Shutdown,"['US Senate', 'Mitch McConnell', 'US House', 'Donald Trump', 'Immigration', 'Government Shutdown', 'Border Wall', 'Politics']","Vote on the wall, and end the shutdown",Washington Examiner,"This is the longest shutdown in the history of the federal government. Both sides have dug in, because both sides see political gain from continuing it. And they both fear reprisals from their",right
11109,Right-Rated Media Focuses on Biden Earpiece Story; Less Covered by Left and Center,"['Elections', '2020 Election', 'Joe Biden', 'Donald Trump', '2020 Debates', 'Trump V Biden', 'Media Bias']","Joe Biden Reverses Course, Declines to Have Ears Inspected Pre-Debate Despite Agreeing Days Ago",Breitbart News,"Joe Biden’s (D) team has reportedly rejected the Trump campaign’s request to have the former vice president’s ears inspected for an electronic device prior to Tuesday night’s debate despite agreeing to the proposal just days ago.
President Trump’s campaign has requested that a third party inspect the ears of both candidates for listening devices ahead of the first presidential debate in Cleveland, Ohio. While Trump has agreed to the request, the Biden campaign, at the time of this writing, has reportedly declined the request. That represents a drastic shift for...",right
3452,Perspectives: “Voter Suppression” or “Election Integrity”?,"['Voting Rights And Voter Fraud', 'Elections', 'US Congress', 'US House', 'Georgia', 'Race And Racism', 'Voter Suppression', 'Politics', 'Republican Party', 'Democratic Party']",H.R. 1 Is a Partisan Disgrace,Rich Lowry,"It’d be fitting if Democrats undertook a radical procedural step to pass a radical piece of legislation.
That’s what the Left is pressuring Senate Democrats to do by eliminating, or significantly curtailing, the filibuster to pass H.R. 1, the sweeping voting proposal that is one of the most execrable bills to pass the House in a very long time.
H.R. 1 would federalize the conduct of elections and codify what were supposed to be emergency voting procedures during the pandemic, in frankly partisan legislation sheathed in the rhetoric of “voting...",right
17194,Andrew Gillum Concedes to Ron DeSantis in Florida Governor Race,['Elections'],Democrat Andrew Gillum concedes in Florida governor’s race to Republican Ron DeSantis,Fox News (Online News),Democrat Andrew Gillum conceded Saturday to GOP challenger Ron DeSantis in their contentious race for the Florida governor’s mansion.,right
1576,DOJ Watchdog Will Investigate Trump-Era Leak Probe Into Dem Lawmakers,"['Justice', 'Donald Trump', 'Leaks', 'Politics', 'US Congress', 'Democratic Party']",Justice Dept. IG to Probe Data Seizure From House Dems,Newsmax (News),"The Justice Department's inspector general has agreed to probe how the department handled a leak investigation during the Trump administration that included a subpoena for metadata of some lawmakers, staff, and family members, CNN is reporting.
The news network had reported that the action came after Deputy Attorney General Lisa Monaco had requested the investigation. CNN said the IG's office announced the probe on Friday.
The New York Times said that prosecutors in the Justice Department under former President Donald Trump seized data from Apple from two Democrat lawmakers on the House Intelligence Committee,
Subpoenas...",right
