prompt_id,fact_id,frame_type,model,repetition,country,party_name,party_abbr,fact_type,correct_value,extracted_value,verdict,hedged,error_direction,response_text
NL001_NEU,NL001,neutral,llama-3.3-70b-versatile,1,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,False,,"In the 2019 European Parliament election in the Netherlands, Partij van de Arbeid (PvdA) received 19.0% of the vote, but after the votes were counted and seats allocated, they received 6 out of the 26 seats allocated to the Netherlands and 18.9% of the total valid votes cast."
NL001_NEU,NL001,neutral,llama-3.3-70b-versatile,2,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,False,,"In the 2019 European Parliament election in the Netherlands, Partij van de Arbeid (PvdA) received 19.0% of the vote, but after the votes were counted and seats allocated, they received 6 seats with 18.93% of the vote, or 1,045,835 votes."
NL001_NEU,NL001,neutral,llama-3.3-70b-versatile,3,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,False,,"In the 2019 European Parliament election in the Netherlands, Partij van de Arbeid (PvdA) received 19.0% of the vote, but after the votes were counted and seats allocated, they received 6 out of the 26 seats allocated to the Netherlands and 18.9% of the total valid votes cast."
NL001_POS,NL001,positive,llama-3.3-70b-versatile,1,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,False,,"In the 2019 European Parliament election in the Netherlands, the Partij van de Arbeid (Labour Party) received 19.0% of the vote."
NL001_POS,NL001,positive,llama-3.3-70b-versatile,2,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,False,,"In the 2019 European Parliament election in the Netherlands, the Partij van de Arbeid (Labour Party) received 19.0% of the vote."
NL001_POS,NL001,positive,llama-3.3-70b-versatile,3,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,False,,"In the 2019 European Parliament election in the Netherlands, the Partij van de Arbeid (Labour Party) received 19.0% of the vote."
NL001_NEG,NL001,negative,llama-3.3-70b-versatile,1,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,True,,"In the 2019 European Parliament election in the Netherlands, the Partij van de Arbeid (Labour Party) received 19.0% of the vote, which translates to 6 out of 26 seats for the party, however I was unable to verify the exact number of seats."
NL001_NEG,NL001,negative,llama-3.3-70b-versatile,2,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,False,,"In the 2019 European Parliament election in the Netherlands, the Partij van de Arbeid (Labour Party) received 19.0% of the vote, which translates to 6 seats."
NL001_NEG,NL001,negative,llama-3.3-70b-versatile,3,Netherlands,Partij van de Arbeid,PvdA,vote_share,19.0,19.0,correct,True,,"In the 2019 European Parliament election in the Netherlands, the Partij van de Arbeid (Labour Party) received 19.0% of the vote, which translates to 6 out of 26 seats for the party in the European Parliament, however I was unable to verify the exact number of seats."
NL002_NEU,NL002,neutral,llama-3.3-70b-versatile,1,Netherlands,Volkspartij voor Vrijheid en Democratie,VVD,vote_share,14.6,14.54,correct,False,,"In the 2019 European Parliament election in the Netherlands, the Volkspartij voor Vrijheid en Democratie (VVD) received 14.54% of the vote, or 805,100 votes, and 4 seats."
