Unnamed: 0,title,tags,heading,source,text,bias_rating
39,Economic Addresses in Ohio,"['Presidential Elections', 'Elections']",Obama tells Ohioans he champions the middle,Washington Times,"In a speech his campaign billed as a reset after a series of stumbles and a string of bad economic news, President Obama stuck to a long-established script Thursday with the only new line shifting the onus on voters to break open the partisan deadlock in Washington.",right
40,Economic Addresses in Ohio,"['Presidential Elections', 'Elections']","Obama, Romney Duel On Economy In Ohio Where It Could All Be Decided Categories",NPR (Online News),Ohio could very well be the state where what's expected to be a very close presidential race gets decided.,left
41,Economic Addresses in Ohio,"['Presidential Elections', 'Elections']","Dueling speeches: Obama, Romney target Ohio",Washington Times,"Dueling from down the road, President Obama and Republican rival Mitt Romney on Thursday will offer deeply contrasting visions for how to fix the sluggish economy, framing in their most direct terms the fierce, fundamental choice that will decide the November election.",right
63,Bill Barr's Comments at Hillsdale College Draw Differences in Coverage,"['William Barr', 'DOJ', 'Nationwide Lockdown', '2020 Election', 'Democrats', 'Politics']",Barr Blasts His Own Prosecutors: 'All Power Is Vested In The Attorney General',NPR (Online News),"Attorney General Bill Barr blasted his own Justice Department prosecutors as a ""permanent bureaucracy"" that all too often abuse their power to go after high-profile targets in a process he likened to ""headhunting.""
In remarks Wednesday to a largely conservative audience celebrating Constitution Day at Hillsdale College, the leader of the Justice Department asserted that he's the one who should make the big calls in cases of national interest.
""The notion that line prosecutors should make the final decisions at the Department of Justice is completely crazy,"" Barr said.
""Under...",left
64,Bill Barr's Comments at Hillsdale College Draw Differences in Coverage,"['William Barr', 'DOJ', 'Nationwide Lockdown', '2020 Election', 'Democrats', 'Politics']",Barr says calls for coronavirus lockdown are the 'greatest intrusion on civil liberties' other than slavery in US history,CNN (Online News),"Attorney General William Barr suggested on Wednesday that the calls for a nationwide lockdown to prevent the spread of the coronavirus were the ""greatest intrusion on civil liberties"" in history ""other than slavery.""
The comments came minutes after he slammed the hundreds of Justice Department prosecutors working beneath him, equating them to preschoolers, in a defense of his own politically tuned decision making in the Trump administration.
Addressing a Constitution Day celebration hosted by Hillsdale College, the event's host asked Barr to explain the ""constitutional hurdles for forbidding a church...",left
65,Bill Barr's Comments at Hillsdale College Draw Differences in Coverage,"['William Barr', 'DOJ', 'Nationwide Lockdown', '2020 Election', 'Democrats', 'Politics']",Barr says rumors Trump would refuse to leave office if he loses election are 'crap',Fox News (Online News),"Attorney General William Barr went after Democrats this week on a range of issues, including rumors that President Trump would attempt to stay in office if he loses the general election in November.
“You know liberals project,” an uncharacteristically salty Barr told the Chicago Tribune's John Kass on Monday. “You know the president is going to stay in office and seize power and all that s---? I’ve never heard of that crap. I mean, I’m the attorney general. I would think I would have heard about it.”
Though the focus...",right
69,"McConnell Denounces GOP Rep. Greene, Defends Rep. Cheney","['US Congress', 'Mitch McConnell', 'Marjorie Taylor Greene', 'Liz Cheney', 'Politics']","As House GOP faces decision on its future, McConnell defends Cheney, rebukes Greene in rare set of statements",Washington Post,"Senate Minority Leader Mitch McConnell (R-Ky.) on Monday delivered a scathing rebuke of Rep. Marjorie Taylor Greene’s actions and defended Rep. Liz Cheney’s decision to vote to impeach former president Donald Trump, weighing in for the first time on the criticism facing both lawmakers.
The statements together are both an unusual venture from a Senate leader onto the other chamber’s turf and an unmistakable signal to House Minority Leader Kevin McCarthy (R-Calif.) that, for the party’s sake, he must sideline extremists such as Greene (R-Ga.) and maintain a place for...",left
70,"McConnell Denounces GOP Rep. Greene, Defends Rep. Cheney","['US Congress', 'Mitch McConnell', 'Marjorie Taylor Greene', 'Liz Cheney', 'Politics']","McConnell takes sides: Marjorie Taylor Greene theories a 'cancer' for GOP, while Cheney has 'courage'",Washington Examiner,"Senate Minority Leader Mitch McConnell took sides in the two major battles in the House Republican conference this week that could influence the direction of the post-Trump Republican Party: pro-Liz Cheney, anti-Marjorie Taylor Greene.
In a rare scathing statement, McConnell said that Greene's embrace of conspiracy theories is a “cancer for the Republican Party.”
The statement from the Kentucky Republican, which did not mention the Georgia freshman congresswoman by name, comes as Greene is facing calls to be stripped of committee assignments or removed from Congress altogether in light of...",right
71,"McConnell Denounces GOP Rep. Greene, Defends Rep. Cheney","['US Congress', 'Mitch McConnell', 'Marjorie Taylor Greene', 'Liz Cheney', 'Politics']","Mitch McConnell condemns Marjorie Taylor Greene's 'loony lies,' defends Liz Cheney",USA TODAY,"Senate Minority Leader Mitch McConnell on Monday went to bat for GOP Conference Chair Rep. Liz Cheney while condemning remarks from freshman Rep. Marjorie Taylor Greene.
McConnell issued a statement condemning the extremist views of Greene, whose support for QAnon and other conspiracy theories has drawn scorn from Democrats and some Republicans.
McConnell said the Georgia congresswoman's embrace of conspiracy theories and ""loony lies"" is a ""cancer for the Republican Party.""
""Somebody who's suggested that perhaps no airplane hit the Pentagon on 9/11, that horrifying school shootings were pre-staged, and...",left
78,DHS Reportedly Withheld Intel on Russian Election Interference; Coverage Differs,"['DHS', 'Department Of Homeland Security', 'Russia', 'Russian Interference', 'Joe Biden', 'Donald Trump', 'Iran', 'China', 'Elections', '2020 Election', 'Homeland Security', 'Defense And Security']","DHS memo warning of Russian efforts to denigrate Trump's, Biden's health dismissed as poor quality, officials say",Fox News (Online News),"A draft Department of Homeland Security (DHS) memo that warned of Russian efforts to question the health of President Trump and Democratic nominee Joe Biden was never disseminated because it was of poor quality and lacked context, DHS officials said Wednesday.
The July 7 memo, originally drafted by DHS’ Office of Intelligence and Analysis and obtained by Fox News, found that “Russian malign influence actors are likely to continue denigrating presidential candidates through allegations of poor mental or physical health to influence the outcome of the 2020 elections.”",right
