Unnamed: 0,title,tags,heading,source,text,bias_rating
8979,Trump Criticized for Taking Question,"['Presidential Elections', 'Elections']","Trump takes heat for not correcting man who called Obama Muslim, not American",Fox News (Online News),"Donald Trump is taking heat from both sides of the aisle after he declined Thursday to correct a questioner at a town hall event who incorrectly stated President Obama is Muslim, and ""not even an American.""",right
5540,Sally Yates Clashes with Republicans In Hearing On Russia Probe,"['Justice Department', 'Senate', 'Sally Yates', 'Russia', 'Russia Probe', 'Michael Flynn', 'Justice']","Gregg Jarrett: Sally Yates says James Comey went 'rogue,' but she was just as unscrupulous",Fox News (Online News),"Sally Yates, who served as Deputy Attorney General during a critical period as the Russia collusion hoax evolved in 2016-17, trashed fired FBI director James Comey during her testimony Wednesday before the Senate Judiciary Committee.
She readily agreed that Comey went “rogue” in his unauthorized pursuit of former national security adviser Michael Flynn. But that, of course, was stating the obvious. It was too easy. Comey managed to turn himself into a human piñata when he engaged in blatant acts of corruption.
Like Comey, Yates was a model of...",right
14521,Obama and the Mid Term Elections,['Elections'],Democrats Walk Out on Another Obama Campaign Stump Speech,Townhall,"Last night President Obama made a rare appearance on the campaign trail to stump for Wisconsin Democrat Mary Burke, who is challenging Governor Scott Walker. During Obama's speech, in particular the moment when he encouraged people to vote and to knock on doors for Burke, people were caught on video filing out of the room.",right
13360,What You Missed From the Beto O'Rourke-Greg Abbott Debate,"['2022 Elections', '2022 Texas Gubernatorial Election', 'Facts And Fact Checking', 'Elections', ""Beto O'Rourke"", 'Greg Abbott', 'Border Crisis']",Abbott and O’Rourke Trade Blows in Texas’ Lone Gubernatorial Debate,The Texan,"For an hour in a largely empty room, Gov. Greg Abbott and challenger Beto O’Rourke locked horns over Texas’ most contentious issues in the first and last debate of the governor’s race.
There was no live audience to witness the two fire shots at one another over their accused failings, occasionally speaking over their time limits — and one another.
It was the first time the candidates met in person since O’Rourke stormed the governor’s press conference after the tragic Uvalde elementary school shooting.
The candidates grappled over border security, gun laws, school safety,...",right
18362,Romney Acceptance Speech,"['Presidential Elections', 'Elections']","Romney accepts nomination, says 'now is the time to restore the promise of America'",Fox News (Online News),"Mitt Romney reintroduced himself to the country Thursday night in Tampa, delivering a deeply personal nomination acceptance address that balanced pledges to fix the economy and critiques of President Obama with stories about his own life and where he comes from.",right
10448,Should Lawmakers Pass Stricter Gun Control Laws to Prevent Future Mass Shootings?,"[""Children'S Rights"", 'Gun Control And Gun Rights', 'Greg Abbott', 'Gun Control Laws', 'Mass Shootings', 'Mental Health', 'NRA', 'State Governments', 'Texas', 'US Senate', 'Uvalde Shooting', 'Violence In America']",Don’t Surrender To Do-Somethingism On Guns,The Federalist,"Before we even knew how the killer of 19 children and two adults at Robb Elementary School in Uvalde, Texas, had obtained his guns, Chris Murphy was engaging in his customary performative emotionalism on the Senate floor, literally begging Republicans to “compromise.”
Compromise on what exactly? Murphy has never once offered a single proposal that would have deterred any of these mass shooters. Literally minutes after his routine, Murphy was asked about the obvious mental illness prevalent among most of these shooters. “Spare me the bullsh-t about mental illness,” the...",right
966,"""Trump University"" Documents Unsealed","['Presidential Elections', 'Elections']","Trump University ‘Playbooks’ Unsealed in Lawsuit: ‘You Don’t Sell Products, Benefits or Solutions — You Sell Feelings’",The Blaze,"Trump University gave employees detailed instructions on how to entice people to enroll in its real estate seminars, from targeting people making at least $90,000 a year and choosing words of flattery that are most persuasive to picking music for the gatherings — The O’Jays’ “For the Love of Money.”",right
403,Congress to vote on Keystone Pipeline,"['US Congress', 'Politics']","Keystone pipeline re-emerges as political football as Landrieu, GOP rival call for vote",Fox News (Online News),"The lame-duck Congress has been in session a matter of hours, and the Keystone pipeline already is a political football.",right
18815,The Impact of Trump,"['Presidential Elections', 'Elections']",Donald Trump denies he’s ‘tapping into the anger’ of voters,Washington Times,"GOP presidential front-runner Donald Trump on Sunday flatly denied that he’s “tapping into the anger” of voters across the country — a charge that has been made by his Republican primary rivals, political pundits of all stripes, and even President Obama.
In an interview with ABC News, Mr. Trump said his campaign is built not on anger but on the idea that, with the proper leadership, the nation’s problems can be solved quickly.",right
18193,Bernie Closes In On Clinton,"['Presidential Elections', 'Elections']",Hillary Collapses to 37 Percent in Iowa,Breitbart News,"The 2008 Democrat nomination was permanently reshuffled when Barack Obama beat Hillary Clinton in the Iowa Caucus. Obama’s win surprised pundits at the time, but a new poll from Bloomberg/Des Moines Register suggests another Hillary defeat is possible. This potential upset is being broadcast five months early.
In the new survey, Hillary has the support of just 37 percent of likely Democrat caucus voters. Sanders has nearly doubled his support, garnering 30 percent in the poll. Vice President Joe Biden, who is not a candidate, earns 14 percent support.
Without...",right
